@relation Mood_sharing

@attribute usedName string
@attribute following numeric
@attribute follower numeric
@attribute numOfTweets numeric
@attribute mentionScore numeric
@attribute hashtagScore numeric
@attribute numOfArticleShared numeric
@attribute numOfArticleSharedDist numeric
@attribute numOfFavorities numeric
@attribute numOfList numeric
@attribute upbeat numeric
@attribute worried numeric
@attribute angry numeric
@attribute depress numeric
@attribute plugedIn numeric
@attribute personable numeric
@attribute distant numeric
@attribute spacy numeric
@attribute analytic numeric
@attribute sensory numeric
@attribute inTheMoment numeric
@attribute openness numeric
@attribute consciousness numeric
@attribute extraversion numeric
@attribute agreeableness numeric
@attribute neuroticism numeric
@attribute avglikes numeric
@attribute mood_indignant numeric
@attribute mood_disappointed numeric
@attribute mood_worried numeric
@attribute mood_amused numeric
@attribute mood_satisfied numeric
@data
liviomilanesio,486,528,4744,0.03425925925925926,0.19583333333333333,11,0.05641,358,3,20,26,16,45,88,11,51,57,8,35,39,0.23299999999999998,0.1479666666666666,0.1475,0.14266666666666677,0.12071428571428573,1.7319661673512254,0.1,0.25,0.07,0.1,0.47
uzapelloni,726,10900,7944,0.03198720511795282,0.16713314674130347,17,0.0977,31,14,11,30,19,45,56,7,56,49,9,22,38,0.2259999999999999,0.12950000000000012,0.1383333333333333,0.13650000000000004,0.10285714285714279,2.127659574468085,0.04,0.03,0.01,0.82,0.1
elespanolcom,456,110000,11900,0.022222222222222223,0.0,4,0.02778,8601,8,15,24,20,42,23,7,37,35,10,11,36,0.18900000000000008,0.1811000000000007,0.1008333333333334,0.18999999999999997,0.0758928571428575,2.9837093957151817,0.25,0.14,0.15,0.08,0.39
danemblog,1790,780,15000,0.025528169014084508,0.01232394366197183,19,0.1092,660,6,16,35,22,43,25,8,52,30,12,15,35,0.22100000000000009,0.13703333333333334,0.13083333333333338,0.12200000000000008,0.1199999999999999,2.9724320049166484,0.64,0.1,0.12,0.08,0.06
enricovitali2,1908,2385,179000,0.023486901535682024,0.06504065040650407,31,0.44286,30500,120,13,31,25,49,70,9,68,39,9,12,36,0.25800000000000006,0.1420000000000001,0.13750000000000004,0.16949999999999996,0.12357142857142871,2.1899427162816356,0.37,0.06,0.04,0.04,0.49
boccajaw,35,166,12700,0.0044444444444444444,0.16952380952380952,57,0.26147,1,0,9,28,16,55,39,6,46,30,8,13,37,0.2499999999999999,0.1199333333333334,0.12583333333333335,0.12699999999999986,0.09821428571428585,3.4154970692512094,0.46,0.1,0.08,0.1,0.27
AlbyCoso,83,18,315,0.05098684210526316,0.023026315789473683,1,0.02703,233,?,9,69,19,50,42,16,65,43,10,11,36,0.25100000000000017,0.14670000000000027,0.1508333333333333,0.1535,0.12410714285714308,5.532871972318339,0.55,0.05,0.07,0.07,0.26
iMarck90,1617,1271,47800,0.1330128205128205,0.014423076923076924,27,0.54,780,2,23,50,29,54,64,14,66,60,9,16,40,0.23400000000000026,0.1377333333333337,0.15416666666666665,0.13049999999999992,0.10660714285714304,2.1953279565017363,0.39,0.1,0.08,0.08,0.35
footalitaire,1162,4657,25900,0.0625,0.020833333333333332,1,0.00735,6285,?,12,57,16,49,30,11,39,41,9,16,38,0.20400000000000024,0.17440000000000042,0.12916666666666674,0.2010000000000001,0.08267857142857168,1.1724137931034482,0.86,0,0,0.07,0.07
EmanueleRosina,4047,3775,797,0.0022354694485842027,0.020864381520119227,7,0.03784,2223,9,10,19,22,58,17,6,34,42,7,20,38,0.2610000000000003,0.15969999999999987,0.17083333333333328,0.14949999999999997,0.12214285714285743,6.015776815776815,0.74,0.08,0.03,0.03,0.13
FramariaTedesco,1095,285,4943,0.01864975755315181,0.06863110779559865,19,0.0936,1133,1,14,79,16,42,38,18,64,40,8,18,35,0.2680000000000001,0.11261666666666666,0.14000000000000007,0.1585,0.08642857142857137,2.4984865119695976,0.56,0.02,0.06,0.1,0.26
FibulaViaggi,801,373,2654,6.191950464396285E-4,0.0346749226006192,15,0.07895,10,0,17,22,16,36,27,8,62,25,8,40,28,0.21500000000000008,0.15150000000000008,0.15333333333333327,0.14650000000000005,0.14982142857142855,1.3446921353413313,0.14,0.05,0.07,0.19,0.55
RoccoTodero,1083,1116,28500,0.01875442321302194,0.021231422505307854,38,0.21469,15900,0,12,46,21,48,28,12,65,41,12,15,41,0.2549999999999999,0.10939999999999996,0.10999999999999992,0.13299999999999998,0.06553571428571431,2.291464624176011,0.49,0.05,0.09,0.08,0.3
GiuseppedeloDe,1967,1407,13800,0.010282776349614395,0.12853470437017994,7,0.04762,8395,3,13,26,16,67,46,8,63,46,9,12,38,0.2690000000000001,0.1177500000000002,0.13583333333333328,0.16849999999999987,0.11053571428571432,1.8564553088571387,0.39,0.05,0.09,0.08,0.39
supermiagolator,1085,1519,7812,0.0017241379310344827,0.027011494252873563,6,0.03593,3427,1,16,37,18,41,24,10,52,40,12,15,37,0.25700000000000023,0.13262499999999997,0.12999999999999995,0.11816666666666668,0.10964285714285701,2.75531914893617,0.19,0,0.16,0.14,0.52
MaxLandra,835,1119,29900,0.004691164972634871,0.07036747458952307,36,0.21429,790,3,14,44,17,41,44,12,52,56,11,17,36,0.21399999999999994,0.15022500000000014,0.1700000000000002,0.17399999999999996,0.15267857142857144,2.7656927188441762,0.6,0.04,0.06,0.08,0.23
FurettoP,153,172,3471,0.2326478149100257,0.017994858611825194,20,0.36364,1232,?,11,38,16,43,87,8,92,57,8,10,39,0.21600000000000008,0.1401,0.12416666666666674,0.18050000000000016,0.13375000000000017,2.268269001221446,0.47,0.15,0.08,0.13,0.17
LauFas88,1164,2366,35200,0.02357320099255583,0.05831265508684864,28,0.49123,19200,6,13,23,16,43,46,7,58,52,9,11,39,0.23499999999999996,0.1457000000000002,0.1375,0.1515,0.12160714285714312,2.6100240668160564,0.46,0.14,0.05,0.05,0.3
cispel,1138,1464,12700,0.016455696202531647,0.03713080168776371,12,0.07895,1345,6,11,32,19,46,27,8,48,33,8,14,36,0.2260000000000001,0.11615000000000004,0.1475000000000001,0.121,0.12071428571428577,3.2372587430369277,0.44,0.08,0.05,0.17,0.26
GianluigiLaroll,118,61,30800,0.0,0.10842872008324662,253,0.97308,0,0,13,24,21,46,34,10,40,70,8,15,38,0.26700000000000007,0.14958333333333323,0.1516666666666666,0.139,0.11660714285714285,2.965942901264639,0.38,0.1,0.08,0.1,0.34
fbordo,896,1098,6999,0.2069408740359897,0.13110539845758354,35,0.27344,2267,1,41,39,29,41,76,19,75,48,32,32,39,0.2640000000000002,0.1887166666666661,0.13750000000000007,0.14816666666666664,0.14696428571428588,2.6936478659762426,0.39,0.08,0.18,0.09,0.27
superceps,1136,1310,22700,0.04439890710382514,0.03961748633879782,5,0.02941,14600,1,11,39,18,57,53,13,48,32,11,12,46,0.24400000000000002,0.12080000000000014,0.16166666666666665,0.13049999999999998,0.11553571428571449,2.3265993265993266,0.28,0.1,0.09,0.16,0.37
maspic1,585,385,445,0.0031496062992125984,0.033700787401574804,5,0.02941,5,0,12,54,19,53,25,13,55,41,10,22,39,0.22899999999999998,0.11839999999999999,0.14499999999999996,0.1634999999999999,0.0889285714285714,7.218451749734888,0.85,0.02,0.02,0.03,0.08
MGPAsti,205,610,12300,0.0062266500622665,0.062266500622665005,30,0.12,306,0,8,35,16,55,17,7,25,3,7,10,40,0.22900000000000006,0.1601000000000001,0.18833333333333346,0.15249999999999997,0.10892857142857172,2.709694907370299,0.39,0.04,0.06,0.07,0.44
GiuseppeLavalle,250,93,1701,0.013294797687861272,0.015028901734104046,34,0.15247,8,0,16,37,20,41,22,10,45,35,8,13,39,0.25399999999999984,0.15364999999999962,0.1441666666666666,0.15150000000000008,0.12839285714285723,0.8785714285714286,0.47,0.16,0.17,0.09,0.12
Zoellina,409,355,757,0.04212299915754002,0.11625947767481044,27,0.23276,202,0,19,47,19,38,51,14,62,46,11,45,39,0.21100000000000005,0.1555999999999998,0.13500000000000004,0.1415,0.11964285714285727,3.6171745654455902,0.35,0.13,0.21,0.11,0.2
GiorgiusLIVE,183,116,10200,0.005192107995846314,0.19626168224299065,37,0.46835,1449,0,13,31,24,52,39,7,51,25,12,16,32,0.22500000000000006,0.17897499999999975,0.20416666666666666,0.18100000000000005,0.12821428571428584,2.0563810868629635,0.27,0.14,0.2,0.09,0.29
bimperatrice,2000,1391,16900,0.0038381018841591066,0.01674808094905792,19,0.08297,2665,13,15,25,20,43,17,9,51,77,11,19,39,0.24700000000000003,0.1378333333333333,0.13249999999999998,0.11450000000000005,0.09196428571428567,2.581182943523227,0.28,0.16,0.12,0.11,0.33
nicdemuro,437,821,2973,0.06423401688781664,0.12123039806996382,3,0.01604,1137,31,12,67,22,50,67,12,75,32,9,17,41,0.26599999999999985,0.1325000000000001,0.1466666666666667,0.14500000000000005,0.12928571428571425,3.7420999430803352,0.45,0.36,0.03,0.06,0.1
GretaSalve,1025,3574,47100,0.0019147917663954045,9.573958831977022E-4,6,0.04317,46000,?,13,29,19,44,29,8,49,88,9,26,42,0.2460000000000002,0.11885000000000012,0.13,0.1279999999999999,0.07053571428571419,3.4150183150183153,0.49,0.09,0.05,0.09,0.29
eughenos,533,707,1898,3.284072249589491E-4,0.027257799671592774,26,0.14208,0,0,10,30,16,48,29,7,54,58,8,13,38,0.23300000000000004,0.13885,0.15916666666666668,0.15350000000000016,0.11535714285714292,2.1226896309354024,0.43,0.1,0.05,0.09,0.34
MicMedda,150,1382,8661,0.010526315789473684,0.029473684210526315,21,0.21212,896,0,18,48,54,49,43,22,63,51,26,26,41,0.25399999999999995,0.11824999999999992,0.15166666666666673,0.1239999999999999,0.12392857142857146,2.0903018786657785,0.36,0.13,0.1,0.2,0.2
ConiglioVolante,791,619,7561,0.031920748486516236,0.05393505778756191,5,0.02994,623,1,16,21,18,41,30,8,52,38,10,22,38,0.24100000000000008,0.1332000000000001,0.18166666666666667,0.1391666666666667,0.11678571428571427,2.4712229598751136,0.43,0.26,0.13,0.07,0.11
Diplomacy140,2566,3624,63700,0.07569721115537849,0.07342060330108138,6,0.02679,359,?,54,22,32,43,65,14,65,28,17,19,23,0.247,0.18648166666666643,0.15166666666666678,0.11550000000000002,0.1764285714285717,2.055784276965379,0.13,0.16,0.11,0.07,0.53
augustoillu,1398,1238,8223,0.01707132018209408,0.026555386949924126,36,0.17647,992,0,11,34,16,43,18,9,55,28,10,23,37,0.23400000000000015,0.1303000000000001,0.15999999999999998,0.13649999999999995,0.11250000000000004,3.7599393769909053,0.5,0.11,0.1,0.08,0.22
annameldolesi,797,2306,8365,0.012420275260154415,0.08425646189996643,64,0.32323,926,0,16,81,33,40,38,21,55,41,13,12,36,0.21499999999999994,0.13503333333333323,0.1375,0.15149999999999988,0.09821428571428575,0.7152777777777778,0.3,0.07,0,0,0.63
Sabina1956,1105,2391,62200,0.010787839163125205,0.2350441320693037,18,0.08491,4659,0,11,28,19,50,48,8,54,49,9,14,42,0.2570000000000001,0.13649999999999998,0.1533333333333333,0.161,0.12696428571428583,2.0383738418315023,0.51,0.04,0.35,0.03,0.08
lotticarlotta,683,1006,5684,0.011812627291242363,0.03054989816700611,3,0.01796,1566,0,11,26,22,54,37,9,61,37,12,13,34,0.20900000000000005,0.1129,0.11333333333333327,0.1260000000000001,0.09892857142857137,2.571285140562249,0.35,0.31,0.01,0.01,0.33
ElisaMarconi84,299,130,357,0.0648409182440596,0.16512283527990335,14,0.08589,104,2,16,26,24,51,61,10,57,32,10,13,40,0.27599999999999997,0.13944999999999996,0.12916666666666662,0.17650000000000005,0.10375000000000005,1.9147847094543238,0.19,0.15,0.22,0.13,0.31
AnnaBiral1,190,26,8189,0.0,0.0,45,0.18367,12,1,8,23,22,50,11,6,34,45,9,14,34,0.251,0.12932500000000025,0.14944444444444435,0.15150000000000005,0.12285714285714293,1.7527426763069311,0.32,0.1,0.06,0.06,0.45
AdrianaFalsone,805,3454,14700,0.18098958333333334,0.15104166666666666,17,0.28814,20500,1,11,31,16,54,94,6,94,23,8,10,38,0.22899999999999995,0.14750000000000002,0.16000000000000003,0.1805,0.12071428571428591,1.2569938231702937,0.39,0.03,0.08,0.19,0.32
DanielaEster5,3857,4832,43200,0.027240773286467488,0.10720562390158173,6,0.05941,14900,39,12,31,16,44,59,8,69,28,9,15,38,0.262,0.17069999999999974,0.14895833333333325,0.1685000000000001,0.14500000000000005,1.9093683798471033,0.6,0.11,0.16,0.05,0.08
EdmondoRho,550,623,3196,0.020710059171597635,0.16982248520710058,8,0.08333,58,1,13,36,21,44,50,11,64,37,9,11,37,0.2809999999999999,0.1408000000000002,0.14666666666666667,0.14750000000000008,0.124464285714286,3.7680098706149123,0.37,0.06,0.13,0.08,0.37
JacopoStorni,453,294,39,0.0,0.06550218340611354,8,0.34783,2,0,14,41,19,49,20,11,54,33,9,13,40,0.22399999999999998,0.17800000000000027,0.13500000000000006,0.18550000000000005,0.1180357142857147,1.361584595959596,0.49,0.12,0.25,0.06,0.08
Vigevanocity,3200,3273,14000,3.248862897985705E-4,0.01332033788174139,6,0.02752,92,2,12,28,16,43,16,7,52,31,8,15,30,0.23300000000000012,0.14409999999999995,0.16833333333333336,0.14899999999999997,0.13357142857142873,8.102313373216617,0.48,0.02,0.04,0.16,0.29
PaoloParentela,607,4368,3559,0.0013981125480601187,0.10101363159734358,4,0.02198,24,1,11,26,18,80,25,6,51,63,8,11,36,0.28099999999999997,0.1197333333333333,0.16583333333333336,0.15399999999999994,0.08482142857142862,2.1176470588235294,0.76,0,0.12,0.12,0
ilsalviano,83,47,14300,0.0,0.004798193621224951,51,0.19615,0,0,15,27,19,41,13,10,56,57,9,15,36,0.25899999999999995,0.12553333333333352,0.1383333333333333,0.13499999999999998,0.09107142857142855,1.899433950043849,0.34,0.11,0.06,0.04,0.44
GGDMM,297,350,5703,0.02857142857142857,0.027472527472527472,11,0.12941,902,0,18,46,23,57,38,16,63,52,21,11,36,0.2430000000000001,0.13813333333333355,0.14666666666666667,0.1455,0.10732142857142872,1.9561355361177284,0.51,0.07,0.1,0.05,0.26
PDRIBELLE,1772,2836,53000,0.05065359477124183,0.058823529411764705,9,0.08911,1344,0,15,29,22,42,38,9,57,24,10,14,38,0.2450000000000001,0.15340000000000012,0.1633333333333334,0.1465,0.10928571428571449,3.037712728125605,0.36,0.04,0.06,0.1,0.43
angelocandido,1566,1455,5211,0.09293680297397769,0.10037174721189591,5,0.07812,206,0,10,19,20,45,60,5,75,21,8,10,35,0.265,0.17866666666666658,0.17083333333333348,0.19399999999999998,0.13500000000000012,0.3333333333333333,0.08,0,0,0,0.92
MimmoAprile,141,196,973,0.20410065237651445,0.08387698042870456,4,0.05,622,0,12,30,18,52,80,9,82,29,9,10,44,0.23900000000000005,0.14780000000000004,0.15666666666666662,0.1775,0.10446428571428593,1.1393939393939394,0.77,0.01,0.08,0.02,0.12
CFBocconi,1980,679,1846,0.01842485549132948,0.039378612716763,2,0.01047,125,1,17,21,21,39,55,7,70,38,9,16,35,0.255,0.14471666666666658,0.13999999999999999,0.12650000000000003,0.12651785714285724,3.11347642505278,0.5,0.01,0.01,0.09,0.38
FrancoTorre1953,55,79,2414,0.01164262212098203,0.0407491774234371,25,0.11682,0,0,13,60,18,51,27,14,58,35,12,17,41,0.2179999999999999,0.11204999999999998,0.13166666666666665,0.14033333333333325,0.07142857142857148,2.204960939387339,0.49,0.1,0.06,0.07,0.29
marcocrespi,395,5355,5895,0.03802672147995889,0.052415210688591986,2,0.02198,366,3,18,32,18,45,61,17,64,49,17,12,36,0.20299999999999993,0.16483333333333308,0.17416666666666675,0.15499999999999997,0.1330357142857144,3.532142857142857,0.47,0.05,0.03,0.03,0.42
Silentvalerio,654,548,17000,0.0,0.0022522522522522522,34,0.14468,384,0,13,22,27,50,15,10,50,38,16,15,35,0.221,0.15369999999999967,0.16416666666666666,0.12399999999999997,0.14017857142857146,2.331870224121633,0.25,0.15,0.13,0.12,0.34
AlfioTodini,750,823,1435,0.0,0.01751459549624687,6,0.03141,39,0,12,25,19,51,16,8,51,61,9,12,36,0.2650000000000001,0.12803333333333342,0.1441666666666667,0.12800000000000006,0.10446428571428563,2.192982456140351,0.64,0.07,0.12,0,0.17
FraBaraghini,2291,8966,30300,0.11987127916331457,0.12711182622687048,20,0.16393,7216,?,10,25,16,45,71,6,59,40,7,88,38,0.24000000000000013,0.15202500000000035,0.14916666666666661,0.12216666666666655,0.12053571428571438,3.1702927324137353,0.37,0.22,0.07,0.07,0.27
ivomez,952,595,5158,0.00424929178470255,0.04107648725212465,2,0.01724,5996,0,11,98,29,49,49,22,73,36,9,16,42,0.2530000000000001,0.15549999999999997,0.15583333333333332,0.16050000000000003,0.12125000000000007,1.4545454545454546,0.44,0.06,0.06,0.1,0.34
JoanMariaDiu,759,807,5798,0.13311148086522462,0.05490848585690516,3,0.03333,48,2,14,22,18,55,46,8,47,25,11,10,35,0.17500000000000004,0.15839999999999987,0.18000000000000016,0.19350000000000012,0.15053571428571433,1.2754629629629628,0.03,0,0.06,0.03,0.9
AndrewTheLeaf,3847,4496,238,0.016570008285004142,0.05758077879038939,7,0.04321,240,4,24,36,17,44,37,14,57,33,16,17,40,0.25300000000000006,0.17359166666666642,0.1569444444444445,0.1395,0.1278571428571428,2.2662491571501584,0.12,0.14,0.24,0.21,0.29
dBarile,812,340,4987,0.026519337016574586,0.07734806629834254,35,0.2349,686,12,13,25,16,60,30,9,54,39,10,32,39,0.24600000000000033,0.15680833333333322,0.13333333333333325,0.1378999999999999,0.11857142857142858,3.4377279102384293,0.04,0.32,0.14,0.26,0.25
lucfontana,561,5914,560,0.03168887288440764,0.06913935902052575,182,0.92386,3,0,11,25,21,54,27,6,52,32,7,12,41,0.2180000000000001,0.12792499999999993,0.15583333333333335,0.13183333333333344,0.10321428571428566,2.931526184494724,0.42,0.1,0.09,0.07,0.32
GiulioTerzi,323,49100,10600,0.02391118701964133,0.03159692570452605,20,0.21053,181,0,11,40,29,48,57,7,68,21,10,21,30,0.236,0.1781999999999998,0.15250000000000002,0.1966666666666668,0.14892857142857144,4.425126037205752,0.59,0.05,0.04,0.05,0.26
FondTrussardi,2138,7366,3498,0.10139860139860139,0.17482517482517482,13,0.61905,1364,0,13,32,20,43,46,11,62,34,11,13,36,0.20900000000000013,0.18599999999999994,0.17500000000000007,0.20500000000000015,0.1430357142857144,0.7222222222222222,0.12,0.12,0,0,0.76
tedonascorza,107,69,1737,0.027777777777777776,0.020833333333333332,15,0.13274,18,0,16,19,17,41,47,7,65,64,9,20,38,0.23199999999999998,0.11940000000000019,0.1475,0.11999999999999991,0.12017857142857143,3.2341041536586093,0.29,0.05,0.07,0.17,0.43
Gentediliguria,489,962,17500,0.046468401486988845,0.036555142503097895,23,0.18548,2574,2,14,32,16,40,48,9,70,29,8,20,40,0.23600000000000004,0.16618333333333335,0.16333333333333355,0.12400000000000007,0.16732142857142895,2.0173790450527767,0.61,0.03,0.03,0.03,0.31
corrierebergamo,609,1641,10000,0.0,7.479431563201197E-4,253,0.97683,2,0,9,27,19,49,14,5,50,28,8,12,39,0.24300000000000008,0.15600000000000003,0.16583333333333342,0.15149999999999997,0.11142857142857154,1.3064233463543995,0.25,0.13,0.05,0.18,0.39
rioconcierge,2200,2533,19400,0.019206680584551147,0.04676409185803758,35,0.19231,1056,10,14,40,17,51,42,13,56,40,14,25,36,0.22399999999999987,0.1501499999999999,0.14499999999999993,0.08866666666666663,0.11624999999999996,1.8473094980137232,0.51,0.13,0.05,0.03,0.28
FondAgnelli,1079,4119,7235,0.07498689040377557,0.0854745673833246,24,0.19835,3074,0,11,27,17,50,63,6,71,28,7,11,39,0.24399999999999988,0.14809999999999987,0.1891666666666666,0.15500000000000008,0.12500000000000003,1.5177372120642636,0.42,0.14,0.23,0.13,0.08
Valeriavale51,2019,1897,28300,0.018421052631578946,0.0,2,0.04082,17900,?,12,33,16,59,53,8,61,84,9,16,37,0.26900000000000013,0.15650000000000028,0.17750000000000002,0.1935000000000001,0.15553571428571436,3.1607142857142856,0.44,0.01,0.13,0.06,0.36
bodyzen52,3328,4253,67200,0.0,0.004514672686230248,23,0.63889,31100,1,10,74,23,48,36,15,57,66,12,56,39,0.23399999999999999,0.1484999999999998,0.17166666666666666,0.19050000000000003,0.13107142857142876,2.5059135298782906,0.58,0.17,0.05,0.04,0.15
mauribrage,2000,1820,30400,0.08661417322834646,0.04330708661417323,2,0.08696,18000,6,11,19,16,46,47,6,69,37,10,15,36,0.193,0.1733000000000001,0.16500000000000006,0.17950000000000002,0.1778571428571429,2.718168168168168,0.05,0.02,0.02,0.1,0.81
velodicedibella,391,567,12800,0.0027991602519244225,0.12946116165150454,6,0.03659,718,?,14,34,16,45,48,10,66,36,10,11,38,0.25600000000000006,0.11546666666666676,0.1433333333333334,0.131,0.08875000000000005,2.0479788069073783,0.23,0.06,0.07,0.12,0.53
FrancescaFredia,129,424,2452,0.005597629239380968,0.02765887388870596,7,0.03271,59,0,11,56,16,49,27,13,57,43,10,17,37,0.2550000000000001,0.10790000000000018,0.12250000000000003,0.149,0.08133928571428584,2.9522868291434783,0.8,0.06,0.04,0.01,0.1
IacopoGori,383,1428,1574,0.03241822429906542,0.04322429906542056,202,0.93519,72,0,14,49,18,46,27,11,50,34,9,11,37,0.23700000000000018,0.13593333333333338,0.1258333333333332,0.11783333333333339,0.08499999999999998,2.3460599984833417,0.32,0.13,0.11,0.08,0.36
Alexpavanati,2070,561,629,0.032073310423825885,0.09335624284077892,24,0.15484,15,?,15,35,20,41,36,10,69,29,9,19,31,0.2790000000000001,0.1550999999999998,0.16000000000000003,0.17949999999999997,0.11196428571428574,1.6122718885124903,0.41,0.15,0.04,0.08,0.32
ExCaserma,353,723,1396,0.0034762456546929316,0.02549246813441483,3,0.01935,103,0,8,30,16,47,28,7,64,32,8,10,35,0.23699999999999996,0.12660000000000007,0.1683333333333334,0.1409999999999999,0.13285714285714292,5.716917922948074,0.47,0.03,0.05,0.07,0.38
FedeDePasquale,997,2315,3192,0.041016222834404654,0.19222528313437404,2,0.01117,361,?,13,30,18,46,58,9,66,35,12,11,39,0.23800000000000004,0.1251000000000001,0.12416666666666668,0.13083333333333333,0.09696428571428573,9.739759036144578,0.9,0.01,0,0.01,0.08
ladyMarion85,264,38,188,0.020118343195266272,0.05088757396449704,9,0.08738,15,0,24,61,22,52,43,14,54,21,18,20,38,0.24800000000000008,0.16913333333333305,0.1675000000000001,0.1665000000000001,0.12696428571428586,5.242475080671367,0.53,0.04,0.08,0.03,0.33
GaetanMauro,598,201,427,0.01920768307322929,0.09963985594237695,5,0.07042,203,0,14,43,16,50,47,9,57,32,9,13,39,0.22800000000000017,0.15559999999999968,0.21083333333333343,0.19750000000000004,0.14053571428571435,3.2737962981699495,0.66,0.06,0.15,0.06,0.06
saveriolakadima,5558,5292,45400,0.07268790596968759,0.08320445406742963,19,0.09406,20800,0,10,31,16,52,51,9,61,43,9,14,38,0.26999999999999996,0.11870000000000001,0.13499999999999995,0.14733333333333323,0.09124999999999991,1.659420272580458,0.54,0.03,0.03,0.09,0.3
S4Change,459,1227,999,0.056790123456790124,0.04691358024691358,3,0.03896,706,0,43,21,16,39,75,16,78,34,22,15,31,0.22999999999999987,0.18384166666666665,0.15194444444444452,0.14950000000000005,0.14982142857142897,4.9238578680203045,0.34,0.22,0.16,0.1,0.18
mediafinancial,1944,701,406000,0.0,0.0,30,0.11811,16,1,9,19,30,48,13,5,42,58,10,12,34,0.22199999999999992,0.15582499999999985,0.15833333333333338,0.17900000000000002,0.12946428571428573,2.303534050828738,0.39,0.16,0.05,0.05,0.35
iguardans,580,15300,25600,0.026595744680851064,0.02127659574468085,27,0.2126,1517,?,11,27,22,49,30,7,43,37,13,13,32,0.21100000000000016,0.17899999999999985,0.1833333333333333,0.2015000000000001,0.1444642857142857,1.9625517728458906,0.31,0.14,0.13,0.09,0.32
nicola1691,325,148,2595,0.038354253835425386,0.02092050209205021,18,0.1374,102,0,19,49,16,42,42,9,55,65,9,22,36,0.25000000000000006,0.15420000000000011,0.17083333333333336,0.11199999999999992,0.1094642857142858,2.180692080845073,0.58,0.1,0.09,0.08,0.16
GiuseppeMilano,1043,1049,12300,0.055104408352668215,0.1177494199535963,3,0.03,909,0,17,29,16,43,53,11,70,36,9,25,39,0.24199999999999988,0.12573333333333353,0.13416666666666666,0.1435,0.10553571428571434,1.2258064516129032,0.78,0.11,0.11,0,0
armandazzo,563,204,1064,0.017857142857142856,0.032407407407407406,15,0.15464,72,0,12,25,25,46,37,8,72,29,11,20,38,0.268,0.14644999999999989,0.1358333333333333,0.15050000000000008,0.12625000000000006,2.091669863566196,0.48,0.12,0.15,0.06,0.19
SefyHendler,511,3442,3269,0.03773584905660377,0.0,3,0.01478,5189,?,8,89,16,78,60,19,48,65,7,17,44,0.20400000000000015,0.1792,0.16000000000000003,0.17300000000000001,0.11571428571428609,3.5977272727272727,0.11,0.52,0,0.01,0.37
GreLibra,105,496,25400,0.0,0.12093987560469938,5,0.0463,486,0,12,55,19,49,46,12,72,31,8,14,36,0.2660000000000001,0.15919999999999987,0.15750000000000008,0.176,0.12482142857142865,21.82928041374477,0.45,0.23,0.06,0.13,0.14
GUnimore,116,17,199,0.0,0.0071174377224199285,3,0.03371,17,0,20,65,19,44,71,21,83,34,12,10,41,0.2589999999999999,0.15259999999999996,0.12250000000000001,0.17250000000000018,0.1301785714285717,1.468609865470852,0.15,0.13,0.06,0.11,0.55
marcopagano,687,357,656,0.016822429906542057,0.07476635514018691,6,0.05505,354,3,14,37,23,49,45,14,53,37,13,16,42,0.22499999999999998,0.12510000000000007,0.1208333333333333,0.15149999999999988,0.11473214285714291,1.7804166666666668,0.29,0.22,0.08,0.04,0.38
tonio2207,1721,525,20000,0.027777777777777776,0.013888888888888888,2,0.01802,2376,0,9,29,16,45,19,5,45,34,9,11,31,0.18900000000000008,0.16010000000000008,0.17916666666666664,0.18399999999999994,0.06410714285714308,1.7599459583764516,0.09,0.11,0.09,0.11,0.61
Antifa80,1196,541,3711,0.02181967888019761,0.14862083161794978,2,0.01117,538,6,13,40,16,45,40,10,65,33,8,12,38,0.22700000000000004,0.1130000000000002,0.15333333333333338,0.15649999999999997,0.1207142857142857,4.290816326530612,0.2,0.03,0.06,0.04,0.67
maxcarlesimo,878,518,5517,0.05113636363636364,0.048295454545454544,4,0.13793,1684,0,10,35,18,52,60,8,74,33,9,14,36,0.20600000000000013,0.1678999999999999,0.15083333333333332,0.18799999999999994,0.11857142857142904,0.2698412698412698,0.3,0.18,0.01,0.01,0.5
mimetikmusic,236,223,2174,0.03483992467043315,0.064030131826742,5,0.05319,2360,1,16,30,22,44,47,10,64,39,11,29,40,0.23199999999999996,0.16959999999999933,0.15583333333333332,0.1501666666666667,0.13767857142857168,3.8970577707781517,0.2,0.04,0.12,0.2,0.44
andreagoldstei6,107,193,933,0.053429602888086646,0.038267148014440436,23,0.15646,29,0,26,37,20,38,48,11,69,27,14,13,35,0.22899999999999998,0.17154999999999967,0.17,0.11416666666666671,0.11678571428571448,1.7144012299206959,0.5,0.06,0.23,0.04,0.17
captblicero,698,38800,10800,0.03297180043383948,0.06290672451193059,5,0.03448,1883,6,12,32,19,48,33,7,58,34,12,24,38,0.23499999999999993,0.12770000000000006,0.1366666666666666,0.12049999999999995,0.09625000000000011,3.1467384519350814,0.42,0.06,0.1,0.1,0.33
marcoscandelli,919,576,441,0.002512562814070352,0.21608040201005024,6,0.03077,93,0,29,82,28,64,65,18,62,35,14,13,40,0.23099999999999996,0.1534666666666665,0.13999999999999996,0.12516666666666673,0.1380357142857143,2.581874144374144,0.37,0.23,0.04,0.18,0.18
