@relation Mood_sharing

@attribute usedName string
@attribute following numeric
@attribute follower numeric
@attribute numOfTweets numeric
@attribute mentionScore numeric
@attribute hashtagScore numeric
@attribute numOfArticleShared numeric
@attribute numOfArticleSharedDist numeric
@attribute numOfFavorities numeric
@attribute numOfList numeric
@attribute upbeat numeric
@attribute worried numeric
@attribute angry numeric
@attribute depress numeric
@attribute plugedIn numeric
@attribute personable numeric
@attribute distant numeric
@attribute spacy numeric
@attribute analytic numeric
@attribute sensory numeric
@attribute inTheMoment numeric
@attribute openness numeric
@attribute consciousness numeric
@attribute extraversion numeric
@attribute agreeableness numeric
@attribute neuroticism numeric
@attribute avglikes numeric
@attribute mood_indignant numeric
@attribute mood_disappointed numeric
@attribute mood_worried numeric
@attribute mood_amused numeric
@attribute mood_satisfied numeric
@data
SardoneSilvia,2222,16500,2802,0.015492957746478873,0.10704225352112676,2,0.01176,962,0,14,39,18,49,45,8,68,37,9,14,37,0.2240000000000002,0.11627500000000017,0.13416666666666663,0.12283333333333335,0.10910714285714286,5.405797101449275,0.38,0.05,0.05,0.29,0.23
rondyne,431,698,8082,0.07702794819359236,0.16155419222903886,5,0.04202,544,25,10,21,16,46,50,6,62,35,10,21,34,0.26100000000000007,0.15339999999999993,0.17333333333333334,0.153,0.1142857142857144,3.173728813559322,0.73,0.04,0.09,0.05,0.09
StefanoBalboni1,154,173,1968,0.008888888888888889,0.0044444444444444444,2,0.03333,12,0,9,28,16,58,31,6,62,11,8,11,34,0.2660000000000001,0.17549999999999963,0.1908333333333335,0.1775000000000001,0.14160714285714288,2.035416666666667,0.21,0.24,0.12,0.06,0.36
UNonnu,351,303,12800,0.009169363538295576,0.043149946062567425,20,0.18018,321,7,17,25,20,48,39,11,47,40,12,24,39,0.21399999999999986,0.13146666666666668,0.14166666666666675,0.11599999999999996,0.10482142857142858,1.310866274179983,0.56,0,0.05,0.07,0.32
NicoloMardegan,2081,17700,15600,0.06054811982154239,0.08540471637985979,4,0.04255,6006,4,10,31,19,48,60,8,78,35,9,12,36,0.23999999999999994,0.134125,0.1458333333333334,0.152,0.1251785714285716,2.9961273666092945,0.37,0.04,0.11,0.06,0.43
Alecroquo,167,47,873,0.007785888077858881,0.1435523114355231,15,0.11811,64,2,14,38,20,47,54,12,65,34,12,13,31,0.23000000000000004,0.122175,0.13333333333333336,0.13516666666666674,0.07517857142857144,2.6111958245602818,0.46,0.1,0.09,0.07,0.28
ginlemoncri,249,783,17700,0.004308797127468581,0.003590664272890485,9,0.05114,5109,0,12,72,24,52,31,16,34,31,10,13,39,0.2139999999999999,0.11049999999999999,0.145,0.14700000000000005,0.09410714285714288,1.8230336516957404,0.05,0.28,0.12,0.16,0.39
Assyrianspirit,643,1371,38700,0.004248744689069139,0.12784859018926226,9,0.04478,11000,1,11,57,19,45,52,9,62,39,10,12,36,0.21600000000000003,0.09780000000000023,0.1208333333333333,0.1415,0.0930357142857143,2.8019511798413532,0.29,0.07,0.29,0.07,0.28
mausassi,214,237,10700,0.007633587786259542,0.07217210270645386,6,0.0625,2058,1,14,39,26,47,36,10,58,38,8,15,38,0.21899999999999997,0.13760000000000008,0.1525,0.16399999999999992,0.10035714285714285,3.8839385170785334,0.48,0.21,0.08,0.06,0.18
TheRealQuater,1080,478,4022,0.033554083885209716,0.12141280353200883,8,0.04878,302,?,12,21,23,47,42,7,64,29,8,15,37,0.2640000000000002,0.15626666666666647,0.14083333333333342,0.12199999999999993,0.1128571428571429,4.65946941171332,0.41,0.02,0.07,0.05,0.46
nicoloscarano,1741,1082,21100,0.009219858156028368,0.040780141843971635,22,0.11,1907,3,15,30,22,48,20,10,47,48,9,17,43,0.20799999999999993,0.13109999999999983,0.15166666666666667,0.13949999999999993,0.10464285714285705,2.1839299407387847,0.31,0.11,0.08,0.07,0.42
cosacifaccioqui,379,157,654,0.04673721340388007,0.09391534391534391,22,0.12222,129,0,19,33,16,37,42,11,60,36,10,17,39,0.2840000000000002,0.1523999999999997,0.1391666666666667,0.14666666666666667,0.10035714285714291,1.5764668649546927,0.28,0.04,0.13,0.11,0.44
bargaglino,488,111,807,0.0020847810979847115,6.949270326615705E-4,21,0.1117,2,?,15,92,16,52,13,30,45,54,8,20,42,0.26899999999999996,0.12580000000000013,0.14166666666666658,0.12250000000000001,0.09232142857142873,2.0142829324551883,0.21,0.14,0.08,0.09,0.48
giure99,40900,41100,78200,0.004273504273504274,0.003519356460532931,42,0.17949,96,?,11,34,16,49,20,8,58,30,7,16,37,0.23900000000000002,0.11439999999999999,0.11833333333333332,0.11099999999999988,0.08616071428571422,2.643183887809527,0.36,0.06,0.07,0.06,0.45
VISANIK,350,274,2969,0.0030778701138811943,0.0021545090797168358,52,0.20155,23,?,10,35,25,52,12,7,46,53,8,17,42,0.25099999999999995,0.12853333333333336,0.13083333333333333,0.13799999999999998,0.0928571428571429,2.4363391464277457,0.4,0.07,0.11,0.1,0.33
loliva2011,997,1385,10400,0.057476231633535005,0.08124459809853068,2,0.01342,2104,22,16,51,24,41,51,18,64,46,15,48,38,0.2400000000000001,0.14093333333333338,0.1491666666666666,0.14050000000000007,0.08964285714285707,1.6064846416382252,0.41,0.13,0.24,0.1,0.12
aldobucs,493,513,62300,0.041237113402061855,0.010309278350515464,1,0.0087,2070,2,24,51,17,41,31,18,40,66,24,10,36,0.21100000000000016,0.16580000000000036,0.155,0.18300000000000005,0.10142857142857167,5.067901234567901,0.1,0.06,0.1,0.31,0.43
tvdigitaldivide,231,94,3516,0.0,0.02323991797676008,51,0.21162,1,0,11,29,19,50,15,7,53,50,10,14,40,0.261,0.1547999999999998,0.148611111111111,0.14000000000000007,0.09732142857142867,1.2115355773892358,0.53,0.07,0.13,0.05,0.22
PiccaAlfredo,89,47,2253,0.0019743336623889436,0.05725567620927937,16,0.19512,86,0,12,70,22,51,34,15,47,40,12,13,39,0.2310000000000001,0.183725,0.1566666666666666,0.20800000000000018,0.14982142857142877,2.8470286661419753,0.45,0.15,0.06,0.07,0.27
gmassaro1975,1532,820,20000,0.012959719789842382,0.16427320490367775,12,0.07362,2289,1,14,59,16,47,53,13,58,60,8,20,39,0.24000000000000007,0.12330000000000016,0.14916666666666675,0.1399999999999999,0.10249999999999997,2.4055580823183473,0.29,0.15,0.08,0.12,0.36
belongtoitaly,621,2738,1245,0.07883461868037704,0.14995715509854327,6,0.04225,41,0,22,27,17,39,77,10,62,60,9,10,36,0.23699999999999996,0.13516666666666666,0.14666666666666664,0.11600000000000005,0.0873214285714286,3.742357859531773,0.25,0.17,0.06,0.04,0.47
MicheleBarbero,704,445,891,0.023966165413533833,0.11654135338345864,6,0.03681,18,1,22,38,52,48,56,20,66,36,27,20,25,0.22900000000000006,0.18428333333333308,0.1575,0.1356666666666666,0.1530357142857143,2.9377581323099413,0.37,0.12,0.1,0.17,0.24
GiordanoSottosa,1946,1522,38200,0.1111111111111111,0.19618055555555555,18,0.42857,1688,1,9,25,18,48,62,8,74,24,11,10,37,0.24100000000000005,0.15250000000000027,0.18416666666666667,0.17550000000000002,0.12607142857142883,2.782853036227614,0.15,0.04,0.11,0.37,0.33
carlo072,237,130,3032,0.04950495049504951,0.12331233123312331,20,0.22222,1319,?,13,42,29,48,72,10,66,28,10,20,41,0.25700000000000034,0.15254999999999996,0.14333333333333326,0.1675,0.12250000000000029,1.6414179503637143,0.4,0.03,0.19,0.14,0.24
amiluccio,1938,797,9992,0.0037965072133637054,0.15641609719058466,8,0.09091,2391,5,21,28,28,65,44,16,64,40,22,41,33,0.24900000000000014,0.18984999999999952,0.13333333333333336,0.12150000000000002,0.1728571428571431,1.8780970625798212,0.27,0.05,0.1,0.23,0.36
cpetruccioli,961,12100,12700,0.03572449271220349,0.061446127464989994,8,0.0396,7,0,13,37,16,50,31,10,57,26,11,17,41,0.24900000000000017,0.12475000000000026,0.14416666666666664,0.1139999999999999,0.09500000000000003,2.0920903080970716,0.31,0.1,0.08,0.11,0.4
auslpiacenza,41,608,1051,0.0,0.019080068143100513,26,0.11556,2,0,13,40,16,48,14,7,53,50,8,17,37,0.21499999999999997,0.1511499999999998,0.15666666666666665,0.17700000000000027,0.10607142857142852,0.0,0,0,0,0,1
